"module name","licenses"
"@alloc/quick-lru@5.2.0","MIT"
"@auth/core@0.18.4","ISC"
"@babel/runtime@7.23.8","MIT"
"@floating-ui/core@1.5.3","MIT"
"@floating-ui/dom@1.5.4","MIT"
"@floating-ui/react-dom@2.0.5","MIT"
"@floating-ui/utils@0.2.1","MIT"
"@isaacs/cliui@8.0.2","ISC"
"@jridgewell/gen-mapping@0.3.3","MIT"
"@jridgewell/resolve-uri@3.1.1","MIT"
"@jridgewell/set-array@1.1.2","MIT"
"@jridgewell/sourcemap-codec@1.4.15","MIT"
"@jridgewell/trace-mapping@0.3.20","MIT"
"@next/env@14.0.4","MIT"
"@next/swc-linux-x64-gnu@14.0.4","MIT"
"@next/swc-linux-x64-musl@14.0.4","MIT"
"@nodelib/fs.scandir@2.1.5","MIT"
"@nodelib/fs.stat@2.0.5","MIT"
"@nodelib/fs.walk@1.2.8","MIT"
"@ory/client@1.5.0","Apache-2.0"
"@panva/hkdf@1.1.1","MIT"
"@pkgjs/parseargs@0.11.0","MIT"
"@radix-ui/primitive@1.0.1","MIT"
"@radix-ui/react-arrow@1.0.3","MIT"
"@radix-ui/react-avatar@1.0.4","MIT"
"@radix-ui/react-collapsible@1.0.3","MIT"
"@radix-ui/react-collection@1.0.3","MIT"
"@radix-ui/react-compose-refs@1.0.1","MIT"
"@radix-ui/react-context@1.0.1","MIT"
"@radix-ui/react-direction@1.0.1","MIT"
"@radix-ui/react-dismissable-layer@1.0.5","MIT"
"@radix-ui/react-dropdown-menu@2.0.6","MIT"
"@radix-ui/react-focus-guards@1.0.1","MIT"
"@radix-ui/react-focus-scope@1.0.4","MIT"
"@radix-ui/react-id@1.0.1","MIT"
"@radix-ui/react-menu@2.0.6","MIT"
"@radix-ui/react-navigation-menu@1.1.4","MIT"
"@radix-ui/react-popper@1.1.3","MIT"
"@radix-ui/react-portal@1.0.4","MIT"
"@radix-ui/react-presence@1.0.1","MIT"
"@radix-ui/react-primitive@1.0.3","MIT"
"@radix-ui/react-roving-focus@1.0.4","MIT"
"@radix-ui/react-slot@1.0.2","MIT"
"@radix-ui/react-use-callback-ref@1.0.1","MIT"
"@radix-ui/react-use-controllable-state@1.0.1","MIT"
"@radix-ui/react-use-escape-keydown@1.0.3","MIT"
"@radix-ui/react-use-layout-effect@1.0.1","MIT"
"@radix-ui/react-use-previous@1.0.1","MIT"
"@radix-ui/react-use-rect@1.0.1","MIT"
"@radix-ui/react-use-size@1.0.1","MIT"
"@radix-ui/react-visually-hidden@1.0.3","MIT"
"@radix-ui/rect@1.0.1","MIT"
"@swc/helpers@0.5.2","Apache-2.0"
"@types/prop-types@15.7.11","MIT"
"@types/react-dom@18.2.18","MIT"
"@types/react@18.2.47","MIT"
"@types/scheduler@0.16.8","MIT"
"ansi-regex@5.0.1","MIT"
"ansi-regex@6.0.1","MIT"
"ansi-styles@4.3.0","MIT"
"ansi-styles@6.2.1","MIT"
"any-promise@1.3.0","MIT"
"anymatch@3.1.3","ISC"
"arg@5.0.2","MIT"
"aria-hidden@1.2.3","MIT"
"asynckit@0.4.0","MIT"
"axios@0.27.2","MIT"
"balanced-match@1.0.2","MIT"
"binary-extensions@2.2.0","MIT"
"brace-expansion@2.0.1","MIT"
"braces@3.0.2","MIT"
"busboy@1.6.0","MIT"
"camelcase-css@2.0.1","MIT"
"caniuse-lite@1.0.30001576","CC-BY-4.0"
"chokidar@3.5.3","MIT"
"class-variance-authority@0.7.0","Apache-2.0"
"client-only@0.0.1","MIT"
"clsx@2.0.0","MIT"
"clsx@2.1.0","MIT"
"color-convert@2.0.1","MIT"
"color-name@1.1.4","MIT"
"combined-stream@1.0.8","MIT"
"commander@4.1.1","MIT"
"cookie@0.6.0","MIT"
"cross-spawn@7.0.3","MIT"
"cssesc@3.0.0","MIT"
"csstype@3.1.3","MIT"
"delayed-stream@1.0.0","MIT"
"detect-node-es@1.1.0","MIT"
"didyoumean@1.2.2","Apache-2.0"
"dlv@1.1.3","MIT"
"eastasianwidth@0.2.0","MIT"
"emoji-regex@8.0.0","MIT"
"emoji-regex@9.2.2","MIT"
"fast-glob@3.3.2","MIT"
"fastq@1.16.0","ISC"
"fill-range@7.0.1","MIT"
"follow-redirects@1.15.4","MIT"
"foreground-child@3.1.1","ISC"
"form-data@4.0.0","MIT"
"function-bind@1.1.2","MIT"
"get-nonce@1.0.1","MIT"
"glob-parent@5.1.2","ISC"
"glob-parent@6.0.2","ISC"
"glob-to-regexp@0.4.1","BSD-2-Clause"
"glob@10.3.10","ISC"
"graceful-fs@4.2.11","ISC"
"hasown@2.0.0","MIT"
"invariant@2.2.4","MIT"
"is-binary-path@2.1.0","MIT"
"is-core-module@2.13.1","MIT"
"is-extglob@2.1.1","MIT"
"is-fullwidth-code-point@3.0.0","MIT"
"is-glob@4.0.3","MIT"
"is-number@7.0.0","MIT"
"isexe@2.0.0","ISC"
"jackspeak@2.3.6","BlueOak-1.0.0"
"jiti@1.21.0","MIT"
"jose@5.2.0","MIT"
"js-tokens@4.0.0","MIT"
"lilconfig@2.1.0","MIT"
"lilconfig@3.0.0","MIT"
"lines-and-columns@1.2.4","MIT"
"loose-envify@1.4.0","MIT"
"lru-cache@10.1.0","ISC"
"lucide-react@0.274.0","ISC"
"merge2@1.4.1","MIT"
"micromatch@4.0.5","MIT"
"mime-db@1.52.0","MIT"
"mime-types@2.1.35","MIT"
"minimatch@9.0.3","ISC"
"minipass@7.0.4","ISC"
"mz@2.7.0","MIT"
"nanoid@3.3.7","MIT"
"next-auth@5.0.0-beta.4","ISC"
"next@14.0.4","MIT"
"normalize-path@3.0.0","MIT"
"oauth4webapi@2.5.0","MIT"
"object-assign@4.1.1","MIT"
"object-hash@3.0.0","MIT"
"path-key@3.1.1","MIT"
"path-parse@1.0.7","MIT"
"path-scurry@1.10.1","BlueOak-1.0.0"
"picocolors@1.0.0","ISC"
"picomatch@2.3.1","MIT"
"pify@2.3.0","MIT"
"pirates@4.0.6","MIT"
"postcss-import@15.1.0","MIT"
"postcss-js@4.0.1","MIT"
"postcss-load-config@4.0.2","MIT"
"postcss-nested@6.0.1","MIT"
"postcss-selector-parser@6.0.15","MIT"
"postcss-value-parser@4.2.0","MIT"
"postcss@8.4.31","MIT"
"postcss@8.4.33","MIT"
"preact-render-to-string@5.2.3","MIT"
"preact@10.11.3","MIT"
"prettier@3.1.1","MIT"
"pretty-format@3.8.0","MIT"
"queue-microtask@1.2.3","MIT"
"react-dom@18.2.0","MIT"
"react-remove-scroll-bar@2.3.4","MIT"
"react-remove-scroll@2.5.5","MIT"
"react-style-singleton@2.2.1","MIT"
"react@18.2.0","MIT"
"read-cache@1.0.0","MIT"
"readdirp@3.6.0","MIT"
"regenerator-runtime@0.14.1","MIT"
"resolve@1.22.8","MIT"
"reusify@1.0.4","MIT"
"run-parallel@1.2.0","MIT"
"scheduler@0.23.0","MIT"
"shebang-command@2.0.0","MIT"
"shebang-regex@3.0.0","MIT"
"signal-exit@4.1.0","ISC"
"source-map-js@1.0.2","BSD-3-Clause"
"streamsearch@1.1.0","MIT"
"string-width@4.2.3","MIT"
"string-width@5.1.2","MIT"
"strip-ansi@6.0.1","MIT"
"strip-ansi@7.1.0","MIT"
"styled-jsx@5.1.1","MIT"
"sucrase@3.35.0","MIT"
"supports-preserve-symlinks-flag@1.0.0","MIT"
"tailwind-merge@1.14.0","MIT"
"tailwindcss-animate@1.0.7","MIT"
"tailwindcss@3.4.1","MIT"
"thenify-all@1.6.0","MIT"
"thenify@3.3.1","MIT"
"to-regex-range@5.0.1","MIT"
"ts-interface-checker@0.1.13","Apache-2.0"
"tslib@2.6.2","0BSD"
"use-callback-ref@1.3.1","MIT"
"use-sidecar@1.1.2","MIT"
"util-deprecate@1.0.2","MIT"
"watchpack@2.4.0","MIT"
"which@2.0.2","ISC"
"wrap-ansi@7.0.0","MIT"
"wrap-ansi@8.1.0","MIT"
"yaml@2.3.4","ISC"

